CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0002,1.0
C0001,C0003,1.0
C0001,C0004,1.0
C0002,C0002,1.0
C0002,C0003,1.0
C0002,C0004,1.0
C0003,C0002,1.0
C0003,C0003,1.0
C0003,C0004,1.0
C0004,C0002,1.0
C0004,C0003,1.0
C0004,C0004,1.0
C0005,C0002,1.0
C0005,C0003,1.0
C0005,C0004,1.0
C0006,C0002,1.0
C0006,C0003,1.0
C0006,C0004,1.0
C0007,C0002,1.0
C0007,C0003,1.0
C0007,C0004,1.0
C0008,C0002,1.0
C0008,C0003,1.0
C0008,C0004,1.0
C0009,C0002,1.0
C0009,C0003,1.0
C0009,C0004,1.0
C0010,C0002,1.0
C0010,C0003,1.0
C0010,C0004,1.0
C0011,C0002,1.0
C0011,C0003,1.0
C0011,C0004,1.0
C0012,C0002,1.0
C0012,C0003,1.0
C0012,C0004,1.0
C0013,C0002,1.0
C0013,C0003,1.0
C0013,C0004,1.0
C0014,C0002,1.0
C0014,C0003,1.0
C0014,C0004,1.0
C0015,C0002,1.0
C0015,C0003,1.0
C0015,C0004,1.0
C0016,C0002,1.0
C0016,C0003,1.0
C0016,C0004,1.0
C0017,C0002,1.0
C0017,C0003,1.0
C0017,C0004,1.0
C0018,C0002,1.0
C0018,C0003,1.0
C0018,C0004,1.0
C0019,C0002,1.0
C0019,C0003,1.0
C0019,C0004,1.0
C0020,C0002,1.0
C0020,C0003,1.0
C0020,C0004,1.0
